authorId,mappedUserId,userName,rootOrgId,rootOrgName,org_id,srcOrgAdminId,srcOrgAdminUserName,contributorOrgAdminId,contributorOrgAdminUserName,programId,programName
5deed393-6e04-449a-b98d-7f0fbf88f22e,5deed393-6e04-449a-b98d-7f0fbf88f22e,rrejneeshpillai_k3c5,0126796199493140480,Staging Custodian Organization,,,,,,,8d2a7de0-d76e-11ed-87b4-9feca80ba862,Observation scoring test solution sourcing project
3a425432-640a-4f10-a7a2-b413db598905,,,,,,,,,,,a0bd2c41-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1613065684746 sourcing project
1405f334-ee59-42fc-befb-51986221881e,1405f334-ee59-42fc-befb-51986221881e,orgadmin007,01269878797503692810,Tamil Nadu,,,,,,,a154ff71-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1613132857976 sourcing project
067bcbd7-3ac6-44b2-8e94-a4ae82990bb6,,,,,,,,,,,a36baa70-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1613135097520 sourcing project
d21f0d9e-5f42-4a15-adde-5411e1bddb78,,,,,,,,,,,abf99b70-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1613972479714 sourcing project
8d4c4d59-cf85-485c-814d-2c9aec5f0c9e,,,,,,,,,,,aef3c8a1-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1614596183034 sourcing project
ad59064e-04df-49e4-8310-61c4e1e5ff12,ad59064e-04df-49e4-8310-61c4e1e5ff12,akshay1293,01275678925675724817,preprod-sso,,,,,,,b0f45391-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1614661585627 sourcing project
6d65e2dc-44f3-4ad4-b7f0-15a5dac5b3a5,,,,,,,,,,,b13e54e1-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1614662560984 sourcing project
e6c2e638-e592-4702-a2d8-e30e0adb87f3,,,,,,,,,,,b3264ec1-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1614671912418 sourcing project
a80c962c-17cf-4533-a567-275c8d6df679,,,,,,,,,,,b50ac630-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1614685840070 sourcing project
309009cd-70e1-455f-98b6-7ebbec80b1a8,,,,,,,,,,,b7164da0-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1614686387487 sourcing project
b7ad81b4-6cde-4ce3-b52e-4b5f7565eb4a,,,,,,,,,,,ba314941-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1614753432174 sourcing project
04bafb60-47d3-4141-9b55-89c27c6019eb,,,,,,,,,,,bc3f68c0-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1615274138124 sourcing project
938e740e-f7c1-478f-996a-978dc4b7da7a,,,,,,,,,,,be1fe890-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1615287911035 sourcing project
15bc33f7-7dc7-4079-9238-0d13f4849ec4,,,,,,,,,,,c0207381-d76e-11ed-87b4-9feca80ba862,ALLOW MULTIPLE ASSESSMENTS IN OBSERVATION sourcing project
0fecc38b-956c-4909-a3e7-be538ef7acd4,0fecc38b-956c-4909-a3e7-be538ef7acd4,rejneesh_s6hm,0126796199493140480,Staging Custodian Organization,,,,,,,caed5800-d76e-11ed-87b4-9feca80ba862,multiple domain and multiple criteria 2 sourcing project
078b0c48-7336-4280-8a0f-bd402387d6fb,078b0c48-7336-4280-8a0f-bd402387d6fb,surya_t1ap,0126796199493140480,Staging Custodian Organization,,,,,,,cd2d8400-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1616141178859 sourcing project
a962dcc2-9c31-425d-a511-71da70cb73f8,a962dcc2-9c31-425d-a511-71da70cb73f8,ko3,0126796199493140480,Staging Custodian Organization,,,,,,,db2b0f00-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1617004704731 sourcing project
09a5110f-edf7-4ba5-b5e5-804be9ca9d5b,,,,,,,,,,,dc001241-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1617284830698 sourcing project
9bb884fc-8a56-4727-9522-25a7d5b8ea06,,,,,,,,,,,df7dee60-d76e-11ed-87b4-9feca80ba862,Leadership Self Assessment sourcing project
9fb6c6b5-263d-488f-a690-09e3b0878c1f,9fb6c6b5-263d-488f-a690-09e3b0878c1f,poo_6e6n,01269878797503692810,Tamil nadu,,,,,,,e5b4a8f1-d76e-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1620051682563 sourcing project
c836f7be-3ab5-413f-9016-adceca214030,c836f7be-3ab5-413f-9016-adceca214030,prateekagarwal_k8rw,0126796199493140480,Staging Custodian Organization,,,,,,,07457e90-d76f-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1621706221015 sourcing project
11491ea2-b3ff-434b-b92c-75d090b51862,11491ea2-b3ff-434b-b92c-75d090b51862,seemarastogi_m3qx,0126796199493140480,Staging Custodian Organization,,,,,,,078d5d01-d76f-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1621749910826 sourcing project
d902851f-52f8-44df-ac18-1e2dd5cd8528,d902851f-52f8-44df-ac18-1e2dd5cd8528,kiran_xi9v,0126796199493140480,Staging Custodian Organization,,,,,,,07d86fc1-d76f-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1621751839033 sourcing project
6e2f1cb7-356f-4031-8726-020817bd03cc,6e2f1cb7-356f-4031-8726-020817bd03cc,akashshah_75xe,0126796199493140480,Staging Custodian Organization,,,,,,,08215fa0-d76f-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1621759030439 sourcing project
306124ef-35dc-46d2-90ed-ef7d89d5a2e1,306124ef-35dc-46d2-90ed-ef7d89d5a2e1,kiranharidas_c7vc,0126796199493140480,Staging Custodian Organization,,,,,,,0bd19660-d76f-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1621852578907 sourcing project
09ea3ad5-323a-4822-b405-32d13b2a7956,,,,,,,,,,,0c18d891-d76f-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1621931033222 sourcing project
b6066c34-4243-4131-8b33-4619126087ad,,,,,,,,,,,0e09ac11-d76f-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1622200787558 sourcing project
0bd91773-4dd7-42e9-b14b-26f1555fb520,0bd91773-4dd7-42e9-b14b-26f1555fb520,ராயப்பன்_21l5,0126796199493140480,Staging Custodian Organization,,,,,,,0fd878a1-d76f-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1622437348592 sourcing project
ed4bdf9f-3c19-4a91-a92c-71a0d45cf425,ed4bdf9f-3c19-4a91-a92c-71a0d45cf425,sumanbharadwajs_k9wz,0126796199493140480,Staging Custodian Organization,,,,,,,10258730-d76f-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1622634519483 sourcing project
85dd4a37-f30f-43b9-9d7e-82d134eb5e21,85dd4a37-f30f-43b9-9d7e-82d134eb5e21,jcs2_l9qb,0126796199493140480,Staging Custodian Organization,,,,,,,1495d9a1-d76f-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1624258616522 sourcing project
17f1ddd4-2c04-4154-9c2b-e3ae2b23750b,17f1ddd4-2c04-4154-9c2b-e3ae2b23750b,june17ss1_6p9w,0126796199493140480,Staging Custodian Organization,,,,,,,14db6e21-d76f-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1624341096571 sourcing project
342bdf42-e82e-45a4-9e89-706894d97af9,,,,,,,,,,,1f7841f1-d76f-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1624963712066 sourcing project
fb3b054f-2d1e-4f0c-b1f9-fa9d001ac1c1,fb3b054f-2d1e-4f0c-b1f9-fa9d001ac1c1,suman_xoql,0126796199493140480,Staging Custodian Organization,,,,,,,335084d1-d76f-11ed-87b4-9feca80ba862,Enrollment challenges in DIKSHA Courses-1626176241282 sourcing project
ec8deeb2-4ded-4fa2-ac48-023ad8298d92,ec8deeb2-4ded-4fa2-ac48-023ad8298d92,selfdeclaredev4,01269878797503692810,Tamil Nadu,,,,,,,a85a1110-d76f-11ed-87b4-9feca80ba862,Testing Observation with criteriaLevelReport sourcing project
4d472816-49ba-4a57-872d-f887f7cbfec8,4d472816-49ba-4a57-872d-f887f7cbfec8,itwasmefive_zx6a,0126796199493140480,Staging Custodian Organization,,,,,,,57336b50-d770-11ed-87b4-9feca80ba862,undefined sourcing project
d29c970c-605a-493c-99f0-9e40f22187cd,d29c970c-605a-493c-99f0-9e40f22187cd,kiranharidas_45bu,0126796199493140480,Staging Custodian Organization,,,,,,,7b822870-d770-11ed-87b4-9feca80ba862,AP-TEST-PROGRAM-3.6.5-SURVEY-1-HM sourcing project
13e61491-bc33-4b27-b8cf-6dfedfb28773,13e61491-bc33-4b27-b8cf-6dfedfb28773,preethi_879i,0126796199493140480,Staging Custodian Organization,,,,,,,88fdd940-d770-11ed-87b4-9feca80ba862,Survey of Diksha awareness – Test(Support testing) sourcing project
06d16e94-b820-44e9-ab1a-7669886b6e39,06d16e94-b820-44e9-ab1a-7669886b6e39,surveycreator_g5zb,0126796199493140480,Staging Custodian Organization,,,,,,,8a3a50e0-d770-11ed-87b4-9feca80ba862,Testing 4.0 survey sourcing project
88d84516-8028-4e21-bd72-f3f76ef26771,,,,,,,,,,,8a851581-d770-11ed-87b4-9feca80ba862,Diksha test survey-july2021 sourcing project
59fa60e7-281d-4876-ae19-5c33ece11db6,,,,,,,,,,,a7058821-d770-11ed-87b4-9feca80ba862,Survey Test 4.2 PreP sourcing project
